PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M_RANGE,2015,28.25,90.25,23.17,23,23,17.6,19.54,17.87,15.73,15.52,14.55,17.99,19.84,25.92,37.94
T2M_RANGE,2015,28.25,90.75,24,23.59,23.26,17.85,20.12,17.93,16.1,15.67,15.22,18.61,20.05,25.94,38.37
T2M_RANGE,2015,28.25,91.25,24.25,23.65,21.58,18.02,19.81,17.3,16.89,16.57,14.61,18.86,19.48,24.43,38.25
T2M_RANGE,2015,28.25,91.75,25.04,24.2,21.99,18.49,20.34,18.32,17.75,16.86,16.98,19.75,20.04,24.13,39.52
T2M_RANGE,2015,28.25,92.25,24.55,23.51,20.59,17.9,18.85,17.88,16.52,15.81,16.26,20.21,19.47,23.58,37.6
T2M_RANGE,2015,28.25,92.75,21.98,21.29,18.31,15.97,16.51,15.88,14.36,14.34,13.59,18.86,16.58,20.43,33.06
T2M_RANGE,2016,25.75,90.25,17.59,20.65,19.54,20.44,12.78,12.01,8.78,11.24,9.37,13.92,15.81,16.94,30.3
T2M_RANGE,2016,25.75,90.75,16.88,19.66,19.03,18.26,12.5,11.86,9.38,11.19,9.83,14.48,15.58,17.06,27.87
T2M_RANGE,2016,25.75,91.25,15.95,18.08,16.49,14.64,12.24,10.55,8.95,10.16,9.23,13.5,14.52,15.71,25.43
T2M_RANGE,2016,25.75,91.75,16.82,18.56,18,15.58,13.19,11.65,9.82,10.62,10.7,14.51,14.89,15.84,27.09
T2M_RANGE,2016,25.75,92.25,17.8,18.84,19.2,16.16,13.79,12.05,10.49,11.27,12.33,14.34,14.78,15.93,27.97
T2M_RANGE,2016,25.75,92.75,17.7,18.95,19.62,16.65,14.07,11.62,10.89,11.37,11.8,13.51,14.76,15.7,28.29
T2M_RANGE,2016,26.25,90.25,16.38,20.41,18.13,19.29,11.6,10.61,8.51,10.32,9.47,12.83,14.12,14.55,29.7
T2M_RANGE,2016,26.25,90.75,15.75,18.97,17.3,17.39,11.55,10.57,9.18,10.82,10.06,13.29,13.78,13.78,27.96
T2M_RANGE,2016,26.25,91.25,15.67,18.38,17.83,15.75,11.75,10.57,10.61,11.37,10.28,13.25,13.84,14.1,27.54
T2M_RANGE,2016,26.25,91.75,16.27,19.1,19.08,16.48,12.58,10.92,11.11,11.16,11.18,13.79,14.91,14.82,27.8
T2M_RANGE,2016,26.25,92.25,17.11,19.51,19.77,17.61,13.32,10.99,11.27,11.32,12.4,13.7,15.03,15.34,28.67
T2M_RANGE,2016,26.25,92.75,17.33,19.53,19.79,18.46,13.99,10.82,11.29,11.21,12.12,13.58,15.1,15.65,29.28
T2M_RANGE,2016,26.75,90.25,14.48,17.71,16.71,17.33,11.36,9.47,8.49,9.37,9.38,13.43,14.01,13.75,26.37
T2M_RANGE,2016,26.75,90.75,14.12,16.75,16.11,16.1,10.69,9.35,8.86,9.98,9.57,13.59,14.42,14.14,25.66
T2M_RANGE,2016,26.75,91.25,14.06,16.98,16.4,15.51,10.86,9.81,10.22,11.25,9.86,14.3,14.57,15.73,26.21
T2M_RANGE,2016,26.75,91.75,14.01,17.32,17.88,16.06,11.75,9.78,10.1,11.55,10.22,13.15,14.91,15.45,26.55
T2M_RANGE,2016,26.75,92.25,14.54,18.06,18.39,16.88,12.25,9.76,10.09,11.02,10.32,13.84,15.06,14.51,26.61
T2M_RANGE,2016,26.75,92.75,15.19,18.29,18.17,17.43,12.83,9.89,10.39,10.45,10.55,14.4,15.19,14.2,26.91
T2M_RANGE,2016,27.25,90.25,15.62,17.67,17.9,16.64,14.86,10.79,10.36,10.43,10.63,16.86,15.47,17.86,26.81
T2M_RANGE,2016,27.25,90.75,16.59,17.39,18.1,16.26,14.59,10.93,10.29,10.76,10.87,17.35,16.57,18.77,27.78
T2M_RANGE,2016,27.25,91.25,18.63,18.23,18.55,16.15,13.91,11.57,10.96,11.64,10.89,18.01,16.38,24,28.61
T2M_RANGE,2016,27.25,91.75,15.19,18.05,18.29,16.4,15.16,11.98,10.54,12.87,10.96,16.56,15.94,19.22,27.66
T2M_RANGE,2016,27.25,92.25,14.33,18.32,17.84,16.28,13.91,11.56,10.18,11.89,10.81,15.95,15.14,15.96,26.62
T2M_RANGE,2016,27.25,92.75,14.21,17.52,16.67,15.74,12.75,10.89,9.66,10.7,10.34,15.11,14.76,14.43,25.94
T2M_RANGE,2016,27.75,90.25,19.92,22.55,22.01,17.3,16.51,13.47,12.69,12.6,12.71,19.26,17.83,22.22,31.42
T2M_RANGE,2016,27.75,90.75,21.29,22.37,22.47,17.09,16.96,13.8,12.68,12.93,13.52,19.59,18.8,22.44,32.42
T2M_RANGE,2016,27.75,91.25,23.72,21.19,22.69,18.24,17.71,14.49,13.54,13.36,13.84,20.07,18.32,26.05,32.76
T2M_RANGE,2016,27.75,91.75,20.12,21.57,21.39,17.4,17.7,14.34,13.43,15.18,13.83,19.94,17.33,22.15,31.57
T2M_RANGE,2016,27.75,92.25,18.4,21.39,19.9,16.32,15.4,13.56,12.4,13.88,12.88,18.5,16.61,19.79,30.13
T2M_RANGE,2016,27.75,92.75,15.89,19.03,17.21,14.95,13.51,12.44,10.41,12.06,10.97,16.45,15.27,17.3,27.73
T2M_RANGE,2016,28.25,90.25,22.23,25.46,23.54,17.98,16.35,16.78,14.97,14.48,14.92,19.44,20.07,24.25,35.05
T2M_RANGE,2016,28.25,90.75,22.74,25.52,23.95,17.99,16.96,17.06,15.33,15.34,15.78,19.62,20.74,24.57,35.27
T2M_RANGE,2016,28.25,91.25,23.4,24.27,24.11,18.73,18.64,17.39,15.86,16.05,15.96,21.05,20.39,24.49,34.95
T2M_RANGE,2016,28.25,91.75,23.09,25.22,24.27,19.02,18.29,17.14,16.38,17.69,16.31,21.59,20.1,24.55,35.82
T2M_RANGE,2016,28.25,92.25,22.24,24.66,22.75,18.54,16.84,16.32,15.18,16.38,15.19,20.9,19.44,23.49,34.64
T2M_RANGE,2016,28.25,92.75,19.07,21.73,19.56,16.85,15.37,14.84,12.75,14.01,12.96,18.94,16.92,20.47,31.17
WS10M_MAX,2015,25.75,90.25,4.71,4.32,7,6.42,5.39,6.94,8.14,5.46,5.31,3.87,3.55,3.97,8.14
WS10M_MAX,2015,25.75,90.75,4.53,4.51,6.67,6.53,5.54,7.19,8.38,5.89,5.24,3.69,3.62,4.06,8.38
WS10M_MAX,2015,25.75,91.25,5.79,6.13,8.3,8.44,7.64,9.64,11.49,8.12,6.55,4.73,4.77,5.8,11.49
WS10M_MAX,2015,25.75,91.75,4.89,5.4,7.04,7.18,6.35,7.73,8.51,6.92,5.5,4,3.87,4.65,8.87
WS10M_MAX,2015,25.75,92.25,4.02,4.68,5.85,6.02,4.88,5.92,5.94,5.15,4.21,3.06,2.9,3.36,6.65
WS10M_MAX,2015,25.75,92.75,3.18,3.96,4.82,4.87,3.61,4.41,3.97,3.63,3.09,2.25,2.19,2.4,5.03
WS10M_MAX,2015,26.25,90.25,5.69,5.1,8.39,8.21,6.8,8.42,8.73,6.67,6.46,4.99,4.87,4.56,9.2
WS10M_MAX,2015,26.25,90.75,5.9,5.48,8.09,8.46,7.35,8.83,9.34,7.06,6.4,5.02,5.09,4.92,9.58
WS10M_MAX,2015,26.25,91.25,6.55,6.21,8.7,9.14,7.93,9.12,10.66,7.74,6.23,5.46,5.54,5.74,10.66
WS10M_MAX,2015,26.25,91.75,6.07,5.9,7.84,8.14,6.36,7.4,9.57,6.57,5.47,4.65,4.74,4.66,9.57
WS10M_MAX,2015,26.25,92.25,5.75,5.97,7.7,7.67,5.46,6.18,7.77,5.52,4.83,3.79,4.11,3.76,8.37
WS10M_MAX,2015,26.25,92.75,4.97,5.65,7.19,6.92,4.7,5.33,5.76,4.55,4.02,2.98,3.41,3.07,7.19
WS10M_MAX,2015,26.75,90.25,4.85,4.73,6.83,7.06,6.48,7.25,6.85,6.34,5.71,4.47,4.32,3.97,7.36
WS10M_MAX,2015,26.75,90.75,5.01,4.77,6.48,7.33,6.83,7.52,7.29,6.33,5.63,4.64,4.44,4.1,7.65
WS10M_MAX,2015,26.75,91.25,5.14,4.68,6.36,7.36,6.67,7.26,7.36,6.48,5.07,4.8,4.34,4.16,7.9
WS10M_MAX,2015,26.75,91.75,5.52,5.25,6.78,7.54,6.37,7.29,7.92,6.55,5.3,4.74,4.42,4.19,8.5
WS10M_MAX,2015,26.75,92.25,5.88,6.16,7.72,8,6.24,6.97,7.2,6.25,5.3,4.3,4.56,4.04,8.54
WS10M_MAX,2015,26.75,92.75,5.57,6.38,7.95,8.03,5.98,6.61,6.05,5.75,4.87,3.75,4.33,3.78,8.24
WS10M_MAX,2015,27.25,90.25,3.91,4.19,5.06,5.59,5.29,6.06,5.3,5.81,4.41,3.77,3.38,3.44,6.06
WS10M_MAX,2015,27.25,90.75,3.83,4.15,4.96,5.73,5.53,6.42,5.34,5.69,4.38,3.7,3.4,3.46,6.42
WS10M_MAX,2015,27.25,91.25,3.72,4.02,4.65,5.38,5.62,6.28,4.96,4.93,3.8,3.46,3.2,3.43,6.28
WS10M_MAX,2015,27.25,91.75,3.86,4.48,4.81,5.87,5.94,6.24,5.01,5.23,4.14,4,3.46,3.79,6.28
WS10M_MAX,2015,27.25,92.25,4.65,5.29,5.91,6.62,6.09,6.56,5.11,5.57,4.51,4.15,3.91,3.95,6.74
WS10M_MAX,2015,27.25,92.75,5.05,5.72,6.7,7.25,6.18,6.8,5.08,5.86,4.61,4.13,4.17,3.96,7.25
WS10M_MAX,2015,27.75,90.25,6.59,6.18,7.28,8.34,6.91,7.91,6.22,7.27,5.57,5.88,5.62,6.48,8.65
WS10M_MAX,2015,27.75,90.75,6.84,6.42,7.7,9.16,7.33,8.35,6.45,7.36,5.78,6.28,5.67,6.82,9.7
WS10M_MAX,2015,27.75,91.25,5.74,6.14,6.67,8.86,8.07,8.32,6.5,7.01,5.83,5.98,5,5.82,9.59
WS10M_MAX,2015,27.75,91.75,7.15,6.85,7.97,9.45,8.65,8.29,6.29,7.12,5.95,6.84,5.77,7.23,9.66
WS10M_MAX,2015,27.75,92.25,7.81,7.25,8.58,9.31,8.65,8.36,6.78,7.32,6.24,6.46,5.99,7.22,9.34
WS10M_MAX,2015,27.75,92.75,7.16,6.76,8.1,8.4,7.85,7.82,6.54,7.11,5.94,5.6,5.52,6.18,8.43
WS10M_MAX,2015,28.25,90.25,11.78,9.98,11.79,11.61,10.06,10.5,7.54,8.24,7.25,8.64,10.19,11.61,12.67
WS10M_MAX,2015,28.25,90.75,11.86,9.92,12.01,12.28,10,10.41,7.88,8.01,7.31,8.92,9.86,11.71,13.22
WS10M_MAX,2015,28.25,91.25,10.52,9.48,10.77,13.05,10.96,10.75,8,8.69,8.31,8.85,8.61,10.24,13.05
WS10M_MAX,2015,28.25,91.75,11.88,9.84,12.13,12.44,11.19,10.46,7.52,8.67,7.45,9.04,9.05,11.17,13.11
WS10M_MAX,2015,28.25,92.25,10.95,8.96,11.41,10.77,10.3,9.54,8.05,8.56,7.27,7.94,8.08,10.31,11.74
WS10M_MAX,2015,28.25,92.75,8.75,7.43,9.54,8.94,8.75,8.49,7.73,7.85,6.84,6.6,6.62,8.31,9.66
WS10M_MAX,2016,25.75,90.25,4.79,8.13,7.11,6.19,5.79,5.1,5.5,7.46,5.18,5.46,3.95,3.29,8.47
WS10M_MAX,2016,25.75,90.75,4.86,7.29,6.44,6.48,5.81,5.3,5.7,6.97,5.2,5.68,4.15,3.16,8.03
WS10M_MAX,2016,25.75,91.25,6.56,9.1,7.86,9.2,7.97,7.16,7.97,10.27,6.79,8.35,5.62,4,11.07
WS10M_MAX,2016,25.75,91.75,5.64,8.08,6.96,8.15,7.06,5.79,6.8,8.39,5.46,6.15,4.44,3.62,9.36
WS10M_MAX,2016,25.75,92.25,4.36,6.72,5.77,6.64,5.7,4.47,5.17,5.49,4.17,4.18,3.38,2.81,7.26
WS10M_MAX,2016,25.75,92.75,3.2,5.3,4.61,5.17,4.37,3.55,3.75,3.07,3.18,2.77,2.52,2.16,5.42
WS10M_MAX,2016,26.25,90.25,5.25,9.1,7.85,7.04,7.08,6.48,6.78,8.16,6.41,7.08,4.5,4.31,9.29
WS10M_MAX,2016,26.25,90.75,5.34,8.13,7.31,7.63,7.5,6.79,6.8,7.53,6.5,6.78,4.93,4.05,8.6
WS10M_MAX,2016,26.25,91.25,6.56,8.82,7.8,9.3,8.07,7.22,7.01,8.41,6.83,7.09,5.46,4.43,9.3
WS10M_MAX,2016,26.25,91.75,5.53,8.35,7.64,8.81,7.19,5.7,5.7,6.78,5.68,5.64,4.9,3.93,9.06
WS10M_MAX,2016,26.25,92.25,4.94,8.33,7.59,8.06,6.47,4.64,5.12,5.36,4.88,4.18,4.21,3.54,8.63
WS10M_MAX,2016,26.25,92.75,4.33,7.72,6.97,7.11,5.64,4.12,4.63,4,4.14,3.14,3.56,3.05,7.72
WS10M_MAX,2016,26.75,90.25,4.42,7,6.49,6.18,6.68,6.05,6.23,6.5,5.54,5.5,3.61,4.14,7.48
WS10M_MAX,2016,26.75,90.75,4.22,6.18,6.33,6.59,7.03,6.28,6.19,6.35,5.68,5.63,3.8,3.85,7.38
WS10M_MAX,2016,26.75,91.25,4.55,5.83,6.16,7.06,6.79,6.28,5.71,6.19,5.72,5.64,3.91,3.87,7.1
WS10M_MAX,2016,26.75,91.75,4.6,6.79,6.9,7.98,7.08,5.85,5.57,5.68,5.63,5.03,4.2,3.78,8.05
WS10M_MAX,2016,26.75,92.25,4.88,7.93,7.69,8.34,7.02,5.46,5.84,5.28,5.57,4.46,4.15,3.93,8.62
WS10M_MAX,2016,26.75,92.75,4.79,8.21,7.78,8.19,6.78,5.2,5.92,4.68,5.28,4.05,3.87,3.75,8.55
WS10M_MAX,2016,27.25,90.25,3.97,4.96,5.32,5.29,5.68,5.03,5.02,4.27,4.26,3.67,3.15,3.52,5.71
WS10M_MAX,2016,27.25,90.75,3.76,4.55,5.3,5.32,5.88,5.1,4.91,4.08,4.15,3.68,3.12,3.5,5.88
WS10M_MAX,2016,27.25,91.25,3.73,4.09,4.76,5.1,5.8,5.17,4.53,4.17,4.12,3.39,3.09,3.3,5.8
WS10M_MAX,2016,27.25,91.75,4.02,4.67,5.18,5.65,6.29,5.37,4.71,4.02,4.26,3.55,3.11,3.3,6.29
WS10M_MAX,2016,27.25,92.25,4.38,5.69,6.07,6.5,6.54,5.53,5.29,4.16,4.7,4,3.33,3.74,6.82
WS10M_MAX,2016,27.25,92.75,4.52,6.27,6.67,7.04,6.65,5.56,5.74,4.15,4.99,4.4,3.4,3.94,7.12
WS10M_MAX,2016,27.75,90.25,7.49,7.27,7.86,7.82,7.98,6.21,6.13,5.67,5.84,5.97,5.27,6.42,8.28
WS10M_MAX,2016,27.75,90.75,7.67,7.19,8.12,7.67,8.37,6.38,6.21,5.59,5.94,6.16,5.51,6.68,8.74
WS10M_MAX,2016,27.75,91.25,6.28,6.41,6.64,6.6,8.24,6.64,6.31,5.67,5.95,5.78,5.11,5.75,8.24
WS10M_MAX,2016,27.75,91.75,7.64,6.96,7.62,7.43,8.46,6.96,6.6,5.42,6.21,6.23,5.69,6.27,8.9
WS10M_MAX,2016,27.75,92.25,7.92,7.27,8.21,7.67,8.86,7.09,7.18,5.85,6.25,6.62,5.84,6.68,9.08
WS10M_MAX,2016,27.75,92.75,6.74,6.77,7.84,7.19,8.36,6.71,6.94,5.55,5.81,6.2,5.16,5.94,8.41
WS10M_MAX,2016,28.25,90.25,13.21,12.35,11.57,12.19,11.14,7.29,7.74,6.73,8.35,10.01,9.45,11.74,13.26
WS10M_MAX,2016,28.25,90.75,13.3,12.13,11.48,11.46,11.64,7.43,7.77,6.74,8.53,10.07,9.65,11.62,13.52
WS10M_MAX,2016,28.25,91.25,11.57,10.46,10.28,9.9,11.6,8.52,8.77,7.42,9.17,9.83,9.22,10.3,12.71
WS10M_MAX,2016,28.25,91.75,12.69,11,11.15,10.22,11.3,7.49,8.08,6.59,8.72,10.03,9.71,10.83,12.91
WS10M_MAX,2016,28.25,92.25,11.86,10.17,10.57,9.09,10.55,7.1,7.98,7.07,7.38,9.38,8.9,10.03,11.96
WS10M_MAX,2016,28.25,92.75,8.96,8.36,8.99,7.57,9.51,6.94,7.57,6.87,6.3,7.89,7.13,7.83,10.22
WS10M_MIN,2015,25.75,90.25,0.11,0.08,0.2,0.21,0.54,0.34,0.17,0.24,0.18,0.05,0.1,0.07,0.03
WS10M_MIN,2015,25.75,90.75,0.17,0.09,0.37,0.12,0.27,0.3,0.17,0.25,0.15,0.08,0.15,0.11,0.04
WS10M_MIN,2015,25.75,91.25,0.1,0.08,0.21,0.19,0.35,0.34,0.28,0.15,0.14,0.14,0.12,0.16,0.05
WS10M_MIN,2015,25.75,91.75,0.16,0.07,0.23,0.14,0.17,0.4,0.15,0.18,0.08,0.06,0.13,0.14,0.04
WS10M_MIN,2015,25.75,92.25,0.11,0.11,0.15,0.1,0.14,0.47,0.1,0.09,0.04,0.08,0.08,0.09,0.03
WS10M_MIN,2015,25.75,92.75,0.05,0.11,0.09,0.07,0.13,0.36,0.09,0.05,0.05,0.08,0.04,0.04,0.01
WS10M_MIN,2015,26.25,90.25,0.13,0.09,0.2,0.11,0.34,0.29,0.11,0.14,0.15,0.07,0.12,0.1,0.03
WS10M_MIN,2015,26.25,90.75,0.16,0.09,0.29,0.11,0.25,0.25,0.1,0.17,0.16,0.1,0.16,0.12,0.04
WS10M_MIN,2015,26.25,91.25,0.09,0.04,0.11,0.21,0.3,0.11,0.08,0.33,0.18,0.13,0.14,0.19,0.04
WS10M_MIN,2015,26.25,91.75,0.13,0.07,0.22,0.14,0.12,0.14,0.16,0.19,0.13,0.16,0.18,0.16,0.05
WS10M_MIN,2015,26.25,92.25,0.11,0.08,0.13,0.1,0.07,0.14,0.11,0.09,0.1,0.14,0.11,0.13,0.04
WS10M_MIN,2015,26.25,92.75,0.06,0.07,0.06,0.1,0.05,0.16,0.1,0.06,0.07,0.11,0.09,0.09,0.03
WS10M_MIN,2015,26.75,90.25,0.07,0.11,0.17,0.12,0.16,0.2,0.07,0.13,0.13,0.08,0.1,0.07,0.03
WS10M_MIN,2015,26.75,90.75,0.07,0.11,0.16,0.09,0.13,0.21,0.08,0.2,0.15,0.09,0.1,0.07,0.03
WS10M_MIN,2015,26.75,91.25,0.05,0.05,0.05,0.14,0.22,0.29,0.1,0.36,0.14,0.07,0.13,0.14,0.02
WS10M_MIN,2015,26.75,91.75,0.15,0.15,0.13,0.09,0.2,0.18,0.18,0.22,0.18,0.18,0.14,0.11,0.05
WS10M_MIN,2015,26.75,92.25,0.14,0.11,0.13,0.13,0.17,0.12,0.15,0.1,0.16,0.14,0.1,0.11,0.05
WS10M_MIN,2015,26.75,92.75,0.11,0.07,0.12,0.15,0.12,0.11,0.15,0.07,0.11,0.1,0.1,0.11,0.04
WS10M_MIN,2015,27.25,90.25,0.07,0.12,0.13,0.1,0.1,0.13,0.11,0.11,0.07,0.07,0.08,0.05,0.02
WS10M_MIN,2015,27.25,90.75,0.06,0.2,0.18,0.11,0.16,0.24,0.13,0.14,0.11,0.07,0.11,0.1,0.03
WS10M_MIN,2015,27.25,91.25,0.07,0.11,0.06,0.07,0.1,0.29,0.19,0.11,0.12,0.09,0.14,0.1,0.02
WS10M_MIN,2015,27.25,91.75,0.11,0.19,0.07,0.12,0.26,0.11,0.15,0.13,0.13,0.1,0.09,0.11,0.03
WS10M_MIN,2015,27.25,92.25,0.12,0.12,0.14,0.16,0.21,0.09,0.17,0.09,0.15,0.09,0.06,0.08,0.03
WS10M_MIN,2015,27.25,92.75,0.1,0.06,0.17,0.15,0.13,0.09,0.16,0.08,0.13,0.08,0.06,0.07,0.03
WS10M_MIN,2015,27.75,90.25,0.13,0.12,0.11,0.14,0.1,0.1,0.09,0.11,0.1,0.16,0.18,0.18,0.02
WS10M_MIN,2015,27.75,90.75,0.16,0.23,0.21,0.2,0.19,0.12,0.11,0.1,0.15,0.17,0.34,0.29,0.04
WS10M_MIN,2015,27.75,91.25,0.1,0.11,0.12,0.09,0.12,0.21,0.14,0.13,0.12,0.16,0.16,0.1,0.05
WS10M_MIN,2015,27.75,91.75,0.12,0.17,0.07,0.21,0.21,0.1,0.13,0.1,0.1,0.08,0.13,0.14,0.02
WS10M_MIN,2015,27.75,92.25,0.14,0.17,0.14,0.19,0.18,0.13,0.2,0.12,0.12,0.08,0.22,0.18,0.04
WS10M_MIN,2015,27.75,92.75,0.11,0.13,0.14,0.13,0.14,0.15,0.16,0.12,0.11,0.09,0.19,0.13,0.04
WS10M_MIN,2015,28.25,90.25,0.41,0.19,0.13,0.16,0.17,0.16,0.06,0.21,0.16,0.21,0.3,0.55,0.04
WS10M_MIN,2015,28.25,90.75,0.35,0.35,0.25,0.24,0.24,0.13,0.08,0.22,0.25,0.16,0.53,0.49,0.05
WS10M_MIN,2015,28.25,91.25,0.1,0.39,0.19,0.39,0.1,0.26,0.09,0.3,0.2,0.14,0.49,0.39,0.08
WS10M_MIN,2015,28.25,91.75,0.15,0.28,0.07,0.31,0.1,0.13,0.19,0.15,0.27,0.14,0.34,0.35,0.04
WS10M_MIN,2015,28.25,92.25,0.2,0.25,0.16,0.22,0.13,0.15,0.2,0.15,0.16,0.11,0.34,0.29,0.06
WS10M_MIN,2015,28.25,92.75,0.15,0.18,0.15,0.14,0.13,0.14,0.13,0.11,0.08,0.08,0.24,0.17,0.05
WS10M_MIN,2016,25.75,90.25,0.15,0.11,0.19,0.48,0.32,0.51,0.15,0.14,0.14,0.09,0.07,0.09,0.05
WS10M_MIN,2016,25.75,90.75,0.1,0.11,0.14,0.32,0.35,0.35,0.17,0.12,0.13,0.09,0.09,0.08,0.05
WS10M_MIN,2016,25.75,91.25,0.06,0.09,0.23,0.32,0.32,0.3,0.09,0.13,0.07,0.03,0.12,0.14,0.02
WS10M_MIN,2016,25.75,91.75,0.11,0.1,0.39,0.37,0.17,0.17,0.23,0.14,0.1,0.07,0.17,0.1,0.05
WS10M_MIN,2016,25.75,92.25,0.1,0.07,0.21,0.25,0.14,0.08,0.2,0.15,0.09,0.08,0.12,0.06,0.04
WS10M_MIN,2016,25.75,92.75,0.07,0.05,0.09,0.19,0.11,0.05,0.13,0.12,0.09,0.07,0.05,0.06,0.02
WS10M_MIN,2016,26.25,90.25,0.12,0.14,0.16,0.15,0.13,0.41,0.15,0.16,0.11,0.1,0.11,0.13,0.04
WS10M_MIN,2016,26.25,90.75,0.11,0.19,0.11,0.27,0.09,0.29,0.14,0.15,0.15,0.17,0.11,0.17,0.04
WS10M_MIN,2016,26.25,91.25,0.05,0.16,0.12,0.39,0.2,0.18,0.07,0.09,0.15,0.09,0.1,0.16,0.02
WS10M_MIN,2016,26.25,91.75,0.09,0.26,0.21,0.24,0.15,0.11,0.18,0.07,0.14,0.11,0.16,0.14,0.04
WS10M_MIN,2016,26.25,92.25,0.08,0.16,0.18,0.18,0.11,0.08,0.17,0.1,0.08,0.1,0.12,0.11,0.03
WS10M_MIN,2016,26.25,92.75,0.06,0.09,0.15,0.17,0.08,0.07,0.11,0.11,0.06,0.08,0.09,0.08,0.02
WS10M_MIN,2016,26.75,90.25,0.08,0.14,0.12,0.07,0.09,0.17,0.13,0.12,0.07,0.08,0.08,0.13,0.03
WS10M_MIN,2016,26.75,90.75,0.13,0.19,0.08,0.08,0.08,0.19,0.07,0.13,0.09,0.13,0.09,0.17,0.04
WS10M_MIN,2016,26.75,91.25,0.07,0.16,0.09,0.18,0.08,0.12,0.08,0.08,0.13,0.11,0.08,0.13,0.03
WS10M_MIN,2016,26.75,91.75,0.12,0.28,0.11,0.14,0.13,0.11,0.16,0.07,0.15,0.09,0.1,0.14,0.04
WS10M_MIN,2016,26.75,92.25,0.12,0.2,0.13,0.17,0.11,0.1,0.17,0.1,0.1,0.08,0.09,0.1,0.03
WS10M_MIN,2016,26.75,92.75,0.1,0.16,0.14,0.19,0.1,0.08,0.12,0.09,0.08,0.08,0.12,0.07,0.03
WS10M_MIN,2016,27.25,90.25,0.07,0.12,0.12,0.08,0.07,0.11,0.15,0.12,0.08,0.08,0.07,0.09,0.02
WS10M_MIN,2016,27.25,90.75,0.12,0.18,0.15,0.09,0.07,0.14,0.11,0.14,0.08,0.1,0.09,0.11,0.03
WS10M_MIN,2016,27.25,91.25,0.07,0.13,0.09,0.07,0.09,0.15,0.17,0.05,0.09,0.22,0.12,0.11,0.04
WS10M_MIN,2016,27.25,91.75,0.1,0.11,0.21,0.1,0.16,0.11,0.11,0.08,0.08,0.14,0.09,0.11,0.04
WS10M_MIN,2016,27.25,92.25,0.1,0.13,0.21,0.2,0.14,0.08,0.1,0.12,0.11,0.09,0.07,0.08,0.03
WS10M_MIN,2016,27.25,92.75,0.08,0.14,0.14,0.21,0.12,0.06,0.1,0.1,0.09,0.08,0.08,0.07,0.03
WS10M_MIN,2016,27.75,90.25,0.09,0.19,0.14,0.12,0.1,0.07,0.18,0.15,0.12,0.09,0.18,0.19,0.01
WS10M_MIN,2016,27.75,90.75,0.2,0.29,0.2,0.19,0.12,0.1,0.14,0.1,0.14,0.15,0.32,0.32,0.02
WS10M_MIN,2016,27.75,91.25,0.12,0.12,0.11,0.09,0.09,0.15,0.19,0.04,0.17,0.29,0.11,0.05,0.03
WS10M_MIN,2016,27.75,91.75,0.11,0.06,0.31,0.08,0.09,0.15,0.06,0.07,0.11,0.15,0.09,0.1,0.02
WS10M_MIN,2016,27.75,92.25,0.21,0.1,0.25,0.13,0.14,0.14,0.05,0.13,0.2,0.14,0.07,0.19,0.04
WS10M_MIN,2016,27.75,92.75,0.18,0.1,0.12,0.12,0.14,0.12,0.08,0.13,0.18,0.11,0.06,0.16,0.04
WS10M_MIN,2016,28.25,90.25,0.23,0.35,0.22,0.34,0.15,0.25,0.11,0.14,0.12,0.14,0.31,0.34,0.04
WS10M_MIN,2016,28.25,90.75,0.34,0.36,0.33,0.51,0.23,0.24,0.17,0.09,0.19,0.27,0.55,0.5,0.08
WS10M_MIN,2016,28.25,91.25,0.28,0.29,0.24,0.23,0.15,0.28,0.25,0.12,0.19,0.29,0.24,0.15,0.08
WS10M_MIN,2016,28.25,91.75,0.37,0.13,0.46,0.27,0.14,0.22,0.14,0.15,0.17,0.38,0.22,0.13,0.07
WS10M_MIN,2016,28.25,92.25,0.39,0.19,0.26,0.2,0.19,0.17,0.1,0.18,0.21,0.28,0.12,0.18,0.06
WS10M_MIN,2016,28.25,92.75,0.25,0.16,0.06,0.12,0.15,0.11,0.08,0.15,0.17,0.14,0.06,0.15,0.04
WS50M_MAX,2015,25.75,90.25,7.35,7.81,10.22,8.99,8.21,9.76,11.94,8.21,7.73,6.74,5.85,6.29,11.94
WS50M_MAX,2015,25.75,90.75,6.82,7.94,9.62,9.29,8.55,10.25,12.48,8.71,7.61,6.58,6.19,6.7,12.48
WS50M_MAX,2015,25.75,91.25,7.81,8.57,10.31,10.69,10.1,12.1,15,10.31,8.96,7.65,6.91,8.11,15
WS50M_MAX,2015,25.75,91.75,6.73,7.89,9.8,9.93,9.09,10.86,12.08,9.71,7.77,6.26,5.64,6.77,12.37
WS50M_MAX,2015,25.75,92.25,6.06,7.23,8.8,9.1,7.68,9.35,9.44,8.3,6.78,5.18,4.89,5.62,10.09
WS50M_MAX,2015,25.75,92.75,5.34,6.61,7.78,8,6.29,7.74,7.02,6.87,5.89,4.26,4.24,4.69,8.26
WS50M_MAX,2015,26.25,90.25,7.79,7.78,11.85,10.86,9.33,11,12.12,9.64,8.4,7.71,6.63,6.68,12.47
WS50M_MAX,2015,26.25,90.75,7.89,8.28,11.63,11.2,10.07,11.53,12.93,9.91,8.43,7.78,7.16,7.25,12.93
